,age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week
0,25,226802,7,0,0,40
1,38,89814,9,0,0,50
2,28,336951,12,0,0,40
3,44,160323,10,7688,0,40
4,18,103497,10,0,0,30
5,34,198693,6,0,0,30
6,29,227026,9,0,0,40
7,63,104626,15,3103,0,32
8,24,369667,10,0,0,40
9,55,104996,4,0,0,10
10,65,184454,9,6418,0,40
11,36,212465,13,0,0,40
12,26,82091,9,0,0,39
13,58,299831,9,0,0,35
14,48,279724,9,3103,0,48
15,43,346189,14,0,0,50
16,20,444554,10,0,0,25
17,43,128354,9,0,0,30
18,37,60548,9,0,0,20
19,40,85019,16,0,0,45
20,34,107914,13,0,0,47
21,34,238588,10,0,0,35
22,72,132015,4,0,0,6
23,25,220931,13,0,0,43
24,25,205947,13,0,0,40
25,45,432824,9,7298,0,90
26,22,236427,9,0,0,20
27,23,134446,9,0,0,54
28,54,99516,9,0,0,35
29,32,109282,10,0,0,60
30,46,106444,10,7688,0,38
31,56,186651,7,0,0,50
32,24,188274,13,0,0,50
33,23,258120,10,0,0,40
34,26,43311,9,0,0,40
35,65,191846,9,0,0,40
36,36,403681,13,0,0,40
37,22,248446,3,0,0,50
38,17,269430,6,0,0,40
39,20,257509,9,0,0,40
40,65,136384,14,0,0,50
41,44,120277,11,0,0,45
42,36,465326,9,0,0,40
43,29,103634,7,0,0,40
44,20,138371,10,0,0,32
45,28,242832,11,0,0,36
46,39,290208,4,0,0,40
47,54,186272,10,3908,0,50
48,52,201062,7,0,0,18
49,56,131916,9,0,0,50
50,18,54440,10,0,0,20
51,39,280215,9,0,0,40
52,21,214399,10,0,1721,24
53,22,54164,9,14084,0,60
54,38,219446,5,0,0,54
55,21,110677,10,0,0,40
56,63,145985,9,0,0,40
57,34,382078,13,3103,0,50
58,42,170721,9,5178,0,50
59,33,269705,9,0,0,40
60,30,101135,13,0,0,50
61,39,118429,10,0,0,40
62,26,31208,14,0,0,40
63,33,281384,9,0,0,40
64,47,171807,9,0,0,40
65,41,109912,13,0,0,40
66,41,445382,12,15024,0,60
67,19,105460,10,0,0,20
68,46,170338,9,0,0,40
69,43,102606,9,0,0,48
70,55,323887,10,15024,0,45
71,46,175622,11,0,0,40
72,30,229636,9,0,0,40
73,21,388946,10,0,0,40
74,46,269034,10,0,0,40
75,17,165361,6,0,0,40
76,41,75012,9,0,0,50
77,69,174379,9,0,0,30
78,50,312477,9,0,0,40
79,20,72055,10,0,0,40
80,45,67001,10,0,0,50
81,23,213734,13,0,0,40
82,24,83141,10,0,1876,40
83,44,223881,9,99999,0,50
84,31,113752,10,0,0,50
85,43,170482,9,0,0,44
86,20,244689,7,0,0,10
87,55,160631,9,0,0,56
88,24,228724,10,0,0,40
89,41,38434,14,7688,0,10
90,59,292946,13,0,0,25
91,49,77443,4,0,0,20
92,33,176410,14,5178,0,10
93,59,98984,13,0,0,40
94,34,198751,14,0,0,40
95,20,479296,9,0,0,40
96,25,235218,13,0,0,40
97,49,164877,6,0,0,40
98,59,272087,9,0,0,40
99,20,169699,9,0,0,40
100,51,189762,10,0,0,18
101,33,202191,10,0,0,35
102,22,212261,10,0,0,39
103,58,301568,5,0,0,40
104,52,155233,9,0,0,28
105,36,75826,6,0,0,40
106,41,201520,9,0,0,40
107,28,154236,9,2597,0,40
108,19,289227,10,0,0,16
109,18,217439,9,0,0,28
110,18,179020,9,0,0,48
111,28,149624,10,0,0,40
112,29,337266,11,0,0,40
113,20,30796,9,0,0,20
114,40,103541,10,0,0,40
115,26,206721,9,0,0,40
116,46,96773,9,0,0,40
117,23,200967,7,0,0,24
118,44,180019,9,0,0,40
119,43,179866,13,0,0,40
120,31,198770,13,0,0,60
121,18,219256,10,0,0,25
122,19,248730,10,0,0,30
123,41,110732,10,0,0,40
124,41,181020,9,0,0,40
125,69,183791,9,0,0,25
126,48,42972,16,0,0,40
127,28,134813,9,0,0,40
128,27,115438,9,0,0,60
129,41,239296,14,0,2415,50
130,41,428420,10,0,0,40
131,24,247846,9,0,0,40
132,20,334105,9,0,0,40
133,42,100793,16,0,0,41
134,57,244478,9,0,0,48
135,30,142921,12,0,0,40
136,36,182863,9,0,0,60
137,49,171128,4,0,0,40
138,33,145402,9,0,0,35
139,23,306309,6,0,0,40
140,46,83822,14,0,0,40
141,18,262118,10,0,0,22
142,40,155972,9,7688,0,55
143,43,214503,9,0,1887,45
144,34,159303,14,0,0,30
145,47,174995,9,0,0,30
146,44,26669,11,0,0,30
147,33,177727,9,0,0,40
148,55,124771,13,15024,0,50
149,19,456736,9,2907,0,30
150,28,216604,10,0,0,14
151,27,221561,7,0,0,32
152,50,114564,4,0,0,20
153,22,315476,7,0,0,40
154,40,67874,13,0,1887,45
155,25,126110,10,0,0,40
156,26,102264,9,0,0,40
157,22,537222,13,0,0,25
158,42,113732,10,0,625,40
159,38,93225,13,0,0,40
160,55,43064,7,0,0,30
161,32,136921,9,0,0,40
162,22,388885,9,0,0,45
163,29,142249,13,0,0,40
164,46,56841,14,0,0,45
165,31,156493,10,0,0,40
166,58,159021,16,0,0,16
167,42,190910,9,0,0,45
168,18,41879,9,0,0,25
169,58,137249,9,0,0,33
170,54,236157,9,0,1887,40
171,34,189759,14,0,0,40
172,26,239877,13,0,0,40
173,61,21175,8,0,0,60
174,48,67229,14,0,0,40
175,36,236391,10,0,0,45
176,24,325596,11,0,0,45
177,40,83411,10,0,0,37
178,33,154227,9,0,0,50
179,37,248010,10,0,1887,40
180,34,198613,14,4650,0,40
181,56,321529,10,15024,0,40
182,28,168524,9,0,0,38
183,37,203079,13,0,0,55
184,44,284652,9,0,0,40
185,64,201368,10,0,0,8
186,54,59840,9,0,0,45
187,23,52753,9,0,0,50
188,34,513100,13,0,0,40
189,22,199266,9,0,0,45
190,33,196385,13,0,1977,40
191,39,163205,13,0,0,50
192,47,411047,10,0,0,37
193,79,48574,4,0,0,40
194,26,209440,9,0,0,55
195,31,56964,10,0,0,40
196,44,299197,10,0,0,45
197,42,240628,15,0,0,50
198,19,355313,9,0,0,40
199,27,132267,9,0,0,40
200,51,174861,10,0,0,40
201,28,142443,13,0,0,50
202,57,26716,13,0,0,45
203,45,185588,13,0,0,40
204,50,175029,11,0,0,40
205,34,34848,13,0,0,54
206,45,411273,4,0,0,40
207,73,143437,9,0,0,20
208,34,357145,13,0,0,50
209,31,236861,10,0,0,55
210,19,53355,7,0,0,12
211,25,29106,10,0,0,50
212,38,213274,11,6497,0,40
