,0,1,2,3,4,5,6,7
1026581,1.5019999999999998,0.07400000000000001,240.17,6.4,0.0,0.0,18.0,584.57000204178
1815,0.374,0.264,245.5,1.8,0.0,2.0,0.0,1419.7506068803696
1291834,0.62,0.3,239.85,3.0,0.0,1.0,1.0,1021.2671549791577
202937,0.28,0.2,235.72,1.4,0.0,0.0,0.0,353.14585478581233
1044824,1.3719999999999999,0.054000000000000006,243.95,5.6,0.0,0.0,18.0,177.06823977562945
266898,0.284,0.254,241.54,1.6,0.0,1.0,0.0,996.8136161902457
1387932,0.196,0.068,244.52,0.8,0.0,0.0,1.0,1068.9186804371966
731982,2.234,0.27,239.05,9.4,0.0,0.0,29.0,1126.5692401444655
1558253,0.486,0.12,249.24,2.0,0.0,2.0,0.0,925.3226480417501
1597556,1.8419999999999999,0.12,245.22,7.4,0.0,0.0,19.0,1351.3455344286733
1835683,0.752,0.102,242.2,3.2,1.0,0.0,1.0,1280.894561944007
2002408,2.1919999999999997,0.0,238.17,9.2,0.0,0.0,18.0,471.15613966118036
1527803,1.308,0.0,242.32,5.4,0.0,0.0,19.0,715.7731443008128
724593,0.424,0.226,242.65,2.0,0.0,0.0,1.0,937.2005069297471
613323,1.288,0.0,239.65,5.2,0.0,0.0,17.0,544.6287340586947
1632566,0.522,0.0,241.34,2.2,0.0,0.0,1.0,611.0744025139469
393029,0.276,0.11199999999999999,237.02,1.2,1.0,0.0,0.0,561.2205438285339
32744,1.432,0.248,238.36,6.0,0.0,0.0,17.0,672.9803919847368
708309,1.288,0.0,237.54,5.4,0.0,0.0,18.0,493.3656498637801
1377890,0.314,0.24600000000000002,243.17,1.6,0.0,0.0,1.0,1106.628827648743
1409115,0.708,0.38799999999999996,241.67,3.6,0.0,2.0,5.0,102.59496813054983
1392404,0.478,0.366,242.97,2.4,0.0,3.0,0.0,671.3959315688376
2005618,0.596,0.0,246.63,2.6,0.0,0.0,0.0,801.2457142805221
1509598,1.3780000000000001,0.048,239.1,5.6,0.0,0.0,19.0,1229.7887119986428
1670224,4.762,0.55,235.53,20.4,0.0,30.0,18.0,831.3359384911471
639498,1.7619999999999998,0.46399999999999997,240.54,7.6,0.0,0.0,17.0,801.7333297771975
636523,0.322,0.11199999999999999,244.36,1.4,0.0,0.0,0.0,706.3525187720713
88115,2.832,0.06,237.45,12.0,0.0,0.0,18.0,1325.4958415908125
1583172,1.538,0.078,244.82,6.2,0.0,0.0,19.0,1366.257670475
571901,1.47,0.0,241.01,6.2,0.0,0.0,18.0,881.4974705918477
1864858,0.27,0.122,240.1,1.2,0.0,0.0,1.0,216.03251778654757
1928016,0.308,0.052000000000000005,243.29,1.6,0.0,0.0,1.0,41.83517147875173
1768630,3.412,0.076,229.35,14.8,35.0,0.0,16.0,465.75465588355235
1739554,0.9640000000000001,0.428,242.78,4.4,0.0,1.0,10.0,189.51876950898276
710669,0.34600000000000003,0.114,243.9,1.4,0.0,0.0,0.0,1413.7933210554959
1864406,2.642,0.214,240.17,11.0,38.0,0.0,1.0,1204.198505744073
1422503,1.3419999999999999,0.086,240.27,5.6,0.0,1.0,18.0,530.8832364989416
1656345,0.49200000000000005,0.0,241.13,2.0,0.0,0.0,1.0,1352.3911677498286
2044832,2.8560000000000003,0.08800000000000001,234.34,13.2,15.0,0.0,0.0,1135.8247542132815
157187,3.614,0.094,235.91,15.4,1.0,0.0,17.0,1280.940798637151
1653188,2.03,0.126,235.36,8.6,0.0,0.0,17.0,1074.3399573416455
269453,0.20600000000000002,0.098,236.79,1.0,0.0,1.0,0.0,671.1801502777048
686788,1.442,0.11,243.24,5.8,0.0,0.0,18.0,572.8762827480783
1302987,1.49,0.094,238.53,6.2,0.0,0.0,18.0,654.7192189082151
1261628,0.304,0.0,241.45,1.4,0.0,0.0,0.0,1052.6414224824714
448244,0.39399999999999996,0.0,244.92,1.8,0.0,0.0,0.0,1060.427719102254
1344596,0.306,0.24600000000000002,243.91,1.6,0.0,0.0,1.0,932.7897286652436
282619,0.4,0.302,238.44,2.0,0.0,2.0,0.0,878.6063470546053
